"",startCity,lastCity,Company,AirlineCode,StartDrome,ArriveDrome,StartTime,ArriveTime,Mode,AirlineStop,Week
"",AAT,URC,中国南方航空(集团)公司,CZ6684,阿勒泰机场,地窝堡国际机场,11:10,12:20,AT7,0,日
"",AAT,URC,中国南方航空(集团)公司,CZ6842,阿勒泰机场,地窝堡国际机场,21:10,22:00,AT7,0,123456日
"",AKU,URC,中国南方航空(集团)公司,CZ6862,阿克苏机场,地窝堡国际机场,11:45,13:35,AT7,0,123456日
"",AKU,URC,中国南方航空(集团)公司,CZ6864,阿克苏机场,地窝堡国际机场,16:45,18:35,AT7,0,123456日
"",AQG,CAN,中国南方航空(集团)公司,CZ3586,安庆机场,新白云国际机场,11:40,13:25,ERJ,0,246
"",BAV,BJS,中国国际航空公司,CA1108,包头机场,首都国际机场,07:10,08:20,733,0,123456日
"",BAV,BJS,中国国际航空公司,CA1142,包头机场,首都国际机场,09:40,10:50,738,0,123456日
"",BAV,BJS,中国国际航空公司,CA1262,包头机场,首都国际机场,11:45,12:55,738,0,123456日
"",BAV,BJS,中国国际航空公司,CA1136,包头机场,首都国际机场,16:10,17:20,738,0,123456日
"",BAV,BJS,上海航空公司,FM2910,包头机场,南苑机场,17:00,18:00,737,0,246
"",BAV,BJS,中国国际航空公司,CA1122,包头机场,首都国际机场,20:25,21:40,738,0,123456日
"",BAV,BJS,上海航空公司,FM2946,包头机场,南苑机场,20:30,21:30,737,0,123456日
"",BAV,CGQ,中国南方航空(集团)公司,CZ6466,包头机场,长春龙嘉国际机场,20:40,22:40,319,0,25日
"",BAV,CGQ,中国南方航空(集团)公司,CZ6240,包头机场,长春龙嘉国际机场,20:40,22:40,319,0,25日
"",BAV,KMG,中国南方航空(集团)公司,CZ6465,包头机场,巫家坝国际机场,11:50,15:15,319,0,25日
"",BAV,KMG,中国南方航空(集团)公司,CZ6239,包头机场,巫家坝国际机场,11:50,15:15,319,0,25日
"",BAV,SHE,中国南方航空(集团)公司,CZ6456,包头机场,桃仙机场,17:30,19:00,JET,0,1246
"",BHY,BJS,中国南方航空(集团)公司,CZ3147,福城机场,首都国际机场,08:00,12:35,320,0,1246
"",BHY,BJS,中国国际航空公司,CA1882,福城机场,首都国际机场,16:00,19:10,733,0,123456日
"",BHY,CAN,中国南方航空(集团)公司,CZ3354,福城机场,新白云国际机场,07:50,09:05,JET,0,123456日
"",BHY,CAN,中国南方航空(集团)公司,CZ3352,福城机场,新白云国际机场,12:30,13:30,JET,0,123456日
"",BHY,CGO,中国南方航空(集团)公司,CZ3620,福城机场,新郑机场,18:10,22:00,733,0,35
"",BHY,CKG,鹰联航空公司,EU2717,福城机场,江北国际机场,09:50,11:20,319,0,135日
"",BHY,CSX,中国南方航空(集团)公司,CZ2890,福城机场,黄花机场,07:00,08:30,320,0,35日
"",BHY,CSX,中国南方航空(集团)公司,CZ3147,福城机场,黄花机场,08:00,09:30,320,0,1246
"",BHY,CSX,中国南方航空(集团)公司,CZ3620,福城机场,黄花机场,18:10,19:50,733,0,35
"",BHY,CTU,鹰联航空公司,EU2716,福城机场,双流国际机场,18:10,20:10,319,0,135日
"",BHY,SYX,鹰联航空公司,EU2719,福城机场,凤凰国际机场,14:20,14:55,319,0,135日
"",BJS,BAV,中国国际航空公司,CA1141,首都国际机场,包头机场,07:30,08:30,738,0,123456日
"",BJS,BAV,中国国际航空公司,CA1261,首都国际机场,包头机场,09:45,10:55,738,0,123456日
"",BJS,BAV,中国国际航空公司,CA1135,首都国际机场,包头机场,14:10,15:20,738,0,123456日
"",BJS,BAV,上海航空公司,FM2909,南苑机场,包头机场,15:10,16:20,737,0,246
"",BJS,BAV,中国国际航空公司,CA1121,首都国际机场,包头机场,18:25,19:25,738,0,123456日
"",BJS,BAV,上海航空公司,FM2945,南苑机场,包头机场,18:50,19:50,737,0,123456日
"",BJS,BAV,中国国际航空公司,CA1107,首都国际机场,包头机场,20:10,21:20,733,0,123456日
"",BJS,BHY,中国国际航空公司,CA1881,首都国际机场,福城机场,11:35,15:00,733,0,123456日
"",BJS,BHY,中国南方航空(集团)公司,CZ3148,首都国际机场,福城机场,19:55,00:40,320,0,135日
"",BJS,CAN,中国国际航空公司,CA1351,首都国际机场,新白云国际机场,08:00,11:00,777,0,123456日
"",BJS,CAN,中国国际航空公司,CA1321,首都国际机场,新白云国际机场,09:00,12:00,JET,0,123456日
"",BJS,CAN,中国南方航空(集团)公司,CZ3108,首都国际机场,新白云国际机场,09:15,12:20,332,0,123456日
"",BJS,CAN,中国南方航空(集团)公司,CZ3162,首都国际机场,新白云国际机场,10:15,13:10,321,0,123456日
"",BJS,CAN,中国南方航空(集团)公司,CZ3112,首都国际机场,新白云国际机场,11:15,14:25,332,0,123456日
"",BJS,CAN,中国国际航空公司,CA1339,首都国际机场,新白云国际机场,12:00,15:00,738,0,123456日
"",BJS,CAN,中国南方航空(集团)公司,CZ3102,首都国际机场,新白云国际机场,12:15,15:05,77A,0,123456日
