"",Address_en,Address_cn,Abbreviation
"",yichun,伊春,LDS
"",daqing,大庆,DQA
"",Yushu,玉树,YUS
"",Kangding,康定,KGT
"",Mohe,漠河,OHE
"",Anshan,鞍山,AOG
"",Jiuquan,酒泉,CHW
"",Zunyi,遵义,ZYI
"",Taizhou,台州,HYN
"",Akesu,阿克苏,AKU
"",Aletai,阿勒泰,AAT
"",Ankang,安康,AKA
"",Anqing,安庆,AQG
"",Anshun,安顺,AVA
"",Baise,百色,AEB
"",Baoshan,保山,BSD
"",Baotou,包头,BAV
"",Beihai,北海,BHY
"",Beijing,北京,BJS
"",Changchun,长春,CGQ
"",Changde,常德,CGD
"",Changdu,昌都,BPX
"",Changsha,长沙,CSX
"",Changzhi,长治,CIH
"",Changzhou,常州,CZX
"",Chaoyang,朝阳,CHG
"",Chengdu,成都,CTU
"",Chifeng,赤峰,CIF
"",Chongqing,重庆,CKG
"",Dali,大理,DLU
"",Dalian,大连,DLC
"",Dandong,丹东,DDG
"",Datong,大同,DAT
"",Daxian,达县,DAX
"",Dehong,德宏,LUM
"",Diqing,迪庆,DIG
"",Dongying,东营,DOY
"",Dunhuang,敦煌,DNH
"",Enshi,恩施,ENH
"",Fuyang,阜阳,FUG
"",Fuzhou,福州,FOC
"",Ganzhou,赣州,KOW
"",Geermu,格尔木,GOQ
"",Guanghan,广汉,GHN
"",Guanghua,光化,LHK
"",Guangzhou,广州,CAN
"",Guilin,桂林,KWL
"",Guiyang,贵阳,KWE
"",Haerbin,哈尔滨,HRB
"",Haikou,海口,HAK
"",Hailaer,海拉尔,HLD
"",Hangzhou,杭州,HGH
"",Hanzhong,汉中,HZG
"",Hefei,合肥,HFE
"",Heihe,黑河,HEK
"",Hetian,和田,HTN
"",Hong Kong,香港,HKG
"",Huangshan,黄山,TXN
"",Huangyan,黄岩,HYN
"",Huhehaote,呼和浩特,HET
"",Jiamusi,佳木斯,JMU
"",Jiayuguan,嘉峪关,JGN
"",Jilin,吉林,JIL
"",Jinan,济南,TNA
"",Jingdezhen,景德镇,JDZ
"",Jinggangshan,井冈山,JGS
"",Jinghong,景洪,JHG
"",jinjiang,晋江,JJN
"",Jinzhou,锦州,JNZ
"",Jiujiang,九江,JIU
"",Jiuzhaigou,九寨沟,JZH
"",Kaohsiung,高雄,KHH
"",Kashi,喀什,KHG
"",Kelamayi,克拉玛依,KRY
"",Kuche,库车,KCA
"",Kuerle,库尔勒,KRL
"",Kunming,昆明,KMG
"",Lanzhou,兰州,LHW
"",Lasa,拉萨,LXA
"",LiangPing,梁平,LIA
"",Lianyungang,连云港,LYG
"",Lijiang,丽江,LJG
"",Lincang,临沧,LNJ
"",Linxi,林西,LXI
